epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.367,0.89985,3.41878,1.07213,0.43496,0.29782,0.25002,0.16674,2.37452,22.5214,1.26456,0.000660194,0.000660194,0.000660194
2,4250.64,1.07378,2.51704,1.20821,0.68027,0.38257,0.40795,0.27818,2.62626,18.0693,1.23932,0.0011955,0.0011955,0.0011955
3,4644.64,1.11947,1.85491,1.26513,0.71788,0.29782,0.33555,0.22755,2.47419,7.39586,1.18719,0.00159881,0.00159881,0.00159881
4,5059.18,1.04795,1.30185,1.20374,0.70712,0.43099,0.44804,0.3121,2.38638,4.97764,1.1336,0.001406,0.001406,0.001406
5,5461.97,1.00677,1.11031,1.17838,0.81362,0.46489,0.48681,0.35025,2.70972,4.80051,1.16174,0.001208,0.001208,0.001208
6,5859.55,0.92949,0.92782,1.12183,0.83871,0.47942,0.51009,0.3809,2.24596,2.82925,1.04926,0.00101,0.00101,0.00101
7,6263.6,0.85927,0.78556,1.06363,0.81968,0.49637,0.53316,0.38925,2.23936,2.52226,1.07031,0.000812,0.000812,0.000812
8,6665.35,0.83146,0.72374,1.0442,0.91127,0.49736,0.53893,0.42314,2.04439,2.05066,0.96567,0.000614,0.000614,0.000614
9,7050.16,0.76442,0.65936,1.01828,0.93261,0.51332,0.56957,0.43187,1.93509,1.84287,0.95758,0.000416,0.000416,0.000416
10,7414.51,0.72996,0.59532,0.9832,0.93253,0.50363,0.5772,0.442,1.85312,1.82608,0.93808,0.000218,0.000218,0.000218
